,lat,lon,temp,hum,cloud,wind,city
4,-4,-45,300.13,98,88,2.01,Vitorino Freire
5,-27,-53,297.15,78,40,7.7,Águas de Chapecó
18,65,-37,267.15,79,88,3.1,Kap Dan
20,67,-112,246.53,68,20,1.61,Lupin
25,28,119,286.43,92,12,0.71,Badu
26,-14,-61,298.38,90,92,1.31,Nova Alvorada
33,56,63,270.33,89,80,5.06,Dalmatovo
34,-6,-52,302.58,74,32,1.31,Sao Felix do Xingu
35,-15,42,301.58,100,88,3.26,Ilha de Mocambique
36,-23,166,298.68,97,68,9.86,Noumea
37,-39,-74,287.23,100,0,9.96,Puerto Saavedra
41,48,-1,282.15,93,88,3.6,Le Pertre
45,44,-82,272.15,46,12,4.1,Ripley
55,-24,20,300.13,52,64,2.81,Aranos
56,31,15,296.98,31,0,6.06,Sha‘bīyat Mişrātah
59,-15,-58,299.98,85,92,1.66,Ildefonso
62,-6,134,299.48,100,88,2.86,Tual
67,15,145,300.88,99,36,10.71,Tinian Municipality
68,-23,-60,301.43,100,0,1.31,Colonia Neuland
69,68,-52,270.73,98,44,1.56,Kangaatsiaq
71,57,99,267.18,61,76,4.31,Novobiryusinskiy
79,34,37,294.23,24,0,1.31,Dayr Atiyah
82,9,-67,302.48,56,76,4.46,Palmasola
83,31,17,291.43,78,0,6.91,Surt
85,36,39,297.63,22,76,2.66,Muḩāfaz̧at ar Raqqah
86,0,-50,300.68,97,88,2.11,Tucuma
89,-19,26,299.78,54,0,3.16,Pandamatenga
90,28,53,297.15,25,24,5.1,Chāh Gachī
93,35,77,258.13,85,8,0.41,Thang
102,1,-79,297.13,100,92,2.36,Valdez
106,67,-87,252.15,76,90,14.4,Repulse Bay
109,6,96,302.18,100,56,6.01,Sigli
113,18,75,301.63,33,68,1.66,Kalas
117,67,80,253.98,73,48,7.66,Tazovskiy
122,59,33,275.98,82,64,4.81,Nebolchi
125,-15,-56,302.88,82,12,3.26,Acorizal
134,70,-148,259.15,84,90,11.8,Prudhoe Bay
135,23,-85,298.33,100,0,6.56,Mantua
138,47,106,270.68,62,92,6.26,Bayanbaraat
149,44,30,283.78,85,68,7.36,Eforie Sud
150,35,-90,286.7,72,90,2.6,Southaven
151,-1,42,302.28,79,0,6.56,Buur Gaabo
159,43,61,278.28,68,0,4.76,Taxtakopir
163,54,-72,256.43,93,80,5.31,La Grande IV
169,40,60,281.58,55,0,3.91,Turkmenistan
192,43,7,290.47,29,0,2.1,Ramatuelle
194,29,115,289.78,97,68,0.86,Luoxi
195,31,-99,294.69,68,20,4.1,San Saba
196,48,150,269.98,100,32,5.46,Vostok
197,16,49,305.08,13,44,2.86,Muḩāfaz̧at Ḩaḑramawt
198,22,-158,292.84,100,1,4.31,Kahuku
203,40,-7,287.28,64,88,4.16,Penha Garcia
209,63,144,252.23,76,0,1.81,Oymyakon
216,43,-119,277.15,75,1,1.5,Hines
229,39,104,283.38,20,0,2.01,Zhoujiajing
231,38,-6,295.15,37,0,2.6,Puebla del Maestre
233,43,25,284.15,87,76,1,Republic of Bulgaria
235,43,78,271.98,96,92,0.91,Tyup
238,68,-91,251.63,87,68,5.36,Kugaaruk
243,-5,16,299.93,88,24,0.96,Ville de Kinshasa
244,65,17,274.15,31,32,1.5,Storuman
251,54,49,274.15,94,90,3,Sengiley
255,10,80,302.58,100,12,5.66,Valvedditturai
256,57,-151,277.08,100,0,1.76,Kodiak
261,76,-72,262.78,100,80,6.26,Dundas
262,45,63,276.63,70,0,4.71,Baykonyr
265,71,-56,268.98,95,32,3.61,Qaarsut
273,46,143,273.63,91,0,2.51,Korsakov
277,65,-93,248.03,81,44,4.86,Wager Bay
281,17,122,294.93,95,92,1.56,Province of Isabela
283,45,-122,279.65,81,90,3.1,Clackamas County
286,-1,-81,302.15,70,40,2.6,Tarqui
287,23,-75,296.98,100,24,6.51,Clarence Town
293,55,93,265.13,70,76,3.56,Berëzovaya
294,-10,-45,306.88,40,8,3.31,Gilbues
296,62,178,274.43,95,0,7.26,Beringovskiy
305,66,-174,273.58,98,88,1.31,Lorino
306,-23,-135,298.38,100,44,3.76,Rikitea
307,60,37,273.28,89,32,2.76,Zubovo
309,7,-71,305.15,46,40,3.1,Arauca
317,51,-115,262.21,92,90,1,Seebe
325,14,28,307.18,13,0,4.31,Umm Kaddadah
329,44,-103,267.36,62,75,6.7,Rapid Valley
335,-2,106,300.78,100,8,3.26,Selindung
343,16,-95,299.28,93,0,10.51,San Mateo del Mar
348,7,79,302.28,100,0,3.31,Colombo
352,33,-94,292.9,77,75,5.1,Vivian
353,-10,33,296.68,79,48,2.16,Isoka
356,44,9,287.12,62,0,2.6,Portofino
357,-1,133,288.78,93,12,1.06,Saowi
359,38,101,265.28,72,0,1.71,Hongtu
362,50,93,267.63,70,80,2.96,Tsalgar
366,36,-105,282.66,42,1,7.7,Mora
369,0,107,301.68,99,0,4.71,Provinsi Kepulauan Riau
370,59,3,277.33,100,0,3.86,Utsira
383,70,-151,258.28,92,90,10.3,Nuiqsut
385,-22,47,296.73,61,76,1.06,Ambalavao
387,45,94,276.03,38,44,5.91,Bayangol
388,63,-84,250.13,100,0,1.21,Coral Harbour
390,58,-114,258.68,72,0,1.01,Fort Vermilion
395,31,68,291.18,23,92,1.86,Khadan Khak
398,6,126,299.98,100,32,3.01,Lamitan
399,59,-103,245.78,72,8,3.56,Brochet
400,-17,40,302.18,100,0,2.96,Antonio Enes
404,26,73,302.63,17,0,3.71,Ratanada
412,38,102,269.93,64,0,1.61,Gansu Sheng
413,34,-4,296.88,43,20,0.91,Ras el Oued
414,13,-59,302.15,70,40,6.7,Sandford
415,61,134,267.38,67,88,4.46,Ust-Maya
418,56,-162,273.15,100,1,4.06,Nelson Lagoon
421,58,-112,259.68,66,0,2.11,Kenny Woods
422,61,-152,264.15,85,1,1.5,Nikiski
427,76,-118,251.53,92,76,3.76,Mould Bay
432,19,79,297.28,74,0,2.96,Jagtial
436,55,96,266.13,44,48,3.86,Aginskoye
438,-35,-72,289.98,95,0,0.71,Curepto
441,-36,172,292.13,100,0,1.61,Ahipara
449,36,10,296.15,16,0,2.1,Sbikha
460,-14,-63,298.13,100,88,1.31,Posto Fiscal Rolim de Moura
467,43,94,272.63,90,92,0.86,Huangtian Nongchang
469,18,43,295.64,27,20,4.1,Birzayn
471,-9,147,297.15,100,5,2.1,National Capital District
483,44,13,288.82,51,40,2.1,Pesaro
485,30,90,262.18,79,8,2.51,Lhainag
488,52,-5,281.15,98,88,5.7,Goodwick
492,61,97,258.63,47,48,4.36,Baykit
496,18,47,306.15,26,5,5.1,Sharūrah
498,36,100,271.13,69,0,1.41,Heka
505,61,65,269.08,76,76,3.86,Zelenoborsk
506,62,61,270.98,66,68,2.76,Khulimsunt
507,-34,27,297.63,100,64,8.61,Port Alfred
514,29,52,293.78,16,32,2.06,Ostān-e Būshehr
529,30,32,298.15,38,0,7.2,Muḩāfaz̧at al Qāhirah
544,68,24,272.15,68,75,1.5,Muonio
547,5,6,299.53,100,44,0.11,Amassoma
550,34,-5,296.97,44,40,3.1,Fes
551,58,78,260.48,64,0,1.91,Kedrovyy
562,64,177,269.18,81,88,1.46,Anadyr
567,50,-60,270.23,100,12,3.91,Tête-à-la-Baleine
570,60,-44,273.38,96,92,11.56,Nanortalik
571,30,89,258.03,71,0,1.16,Asia
578,-17,45,303.78,48,92,0.76,Besalampy
580,0,0,301.38,100,64,1.71,Earth
586,29,53,289.73,19,20,0.91,Ostān-e Fārs
591,29,64,295.58,17,8,2.06,Dalbandin
594,-4,22,303.53,72,0,1.61,Province du Kasaï-Occidental
600,38,57,281.15,75,90,2.1,Ostān-e Khorāsān-e Shomālī
602,64,-127,247.93,36,0,0.91,Tulita
606,51,103,257.93,71,76,1.16,Bayangol
609,43,11,289.08,39,0,3.1,Prata
624,36,-87,288.34,82,75,2.6,Fairview
631,-17,23,300.93,60,0,4.31,Senanga
635,23,24,304.98,9,0,3.56,Al Kufrah
638,56,100,265.98,53,44,3.76,Chunskiy
641,-6,154,302.68,100,12,7.31,Bougainville
652,62,-117,253.53,75,0,1.56,FortProvidence
654,38,126,280.93,93,92,3.06,Yonan-up
658,60,160,273.88,87,64,11.76,Palana
659,35,-76,292.15,59,1,3.6,Buxton
665,6,-73,287.63,95,92,1.21,Cerinza
669,-18,-62,303.03,70,80,2.96,Departamento de Santa Cruz
674,37,111,283.63,47,0,3.46,Lingquan
679,23,77,303.15,23,0,2.6,Ichhawar
682,54,34,277.13,95,48,7.36,Betlitsa
683,66,60,268.13,89,88,1.96,Inta
684,40,2,287.48,100,20,5.06,Estellencs
687,-23,113,300.98,98,0,6.36,Learmonth
711,74,-56,263.73,69,8,2.21,Upernavik
712,-21,142,299.33,56,36,4.76,Julia Creek
713,53,63,271.15,74,0,7,Rudnyy
730,50,-121,275.46,72,75,5.7,Coyle
731,64,15,271.78,70,8,1.71,Stroemsund
733,60,70,266.23,72,80,4.11,Gornopravdinsk
734,44,-77,273.65,100,75,5.1,Bongard
746,3,-50,298.68,100,80,3.66,Maracá
750,29,-5,304.53,12,8,6.01,Mhamid
751,61,89,262.23,55,48,4.11,Osinovo
758,-4,38,299.08,62,64,1.96,Kisiwani
760,-20,146,298.33,75,48,5.46,Charters Towers
761,29,59,301.73,19,8,4.06,Akbarābād
762,62,3,276.48,100,12,0.71,Maloy
763,52,18,278.28,97,88,11.01,Grodziec
770,50,116,270.18,31,56,11.51,Ereencav
778,8,-2,305.53,77,24,2.66,Republic of Ghana
783,40,-82,278.9,48,1,3.6,North Zanesville
784,7,143,302.58,96,76,6.71,Eauripik Municipality
789,30,77,297.88,53,0,3.21,Ladwa
792,-27,-52,297.15,78,40,7.7,Irani
798,-16,-59,299.78,97,92,2.26,Porto Esperidião
802,69,16,273.52,63,75,7.2,Myre
805,49,92,267.28,67,64,1.71,Har-Us
815,12,11,311.98,16,0,5.31,Potiskum
816,35,126,287.15,93,0,2.1,Sinan
822,43,-71,285.77,43,1,7.7,Exeter
827,-29,-51,291.78,100,92,1.71,Sao Marcos
828,54,0,278.4,75,75,5.1,Atwick
829,-24,-57,300.88,86,12,1.61,San Pedro de Ycuamandiyu
832,48,41,284.63,74,0,5.76,Romanov
833,39,124,279.18,87,92,6.91,Yomju-up
839,51,-81,264.15,43,75,5.1,Moosonee
841,5,74,300.93,100,68,2.46,Naifaru
843,-2,118,302.68,98,12,6.36,Mamuju
850,26,81,299.68,46,0,2.36,Dalmau
854,-38,-57,291.15,82,75,6.7,Mar del Plata
856,46,-106,267.15,79,1,4.1,Miles City
859,7,72,302.13,100,36,1.76,Dhidhdhoo
861,22,30,304.13,9,0,4.56,Wādī Ḩalfā’
863,44,70,277.98,92,88,4.71,Saūdakent
864,-29,-51,291.78,100,92,1.71,Sao Marcos
868,39,-84,278.81,56,1,3.6,Williamsburg
870,63,125,262.48,70,32,3.56,Berdigestyakh
872,39,143,284.48,100,8,2.41,Kamaishi
874,-37,178,293.03,100,0,4.31,Opotiki District
876,0,155,301.78,100,68,2.11,Kapingamarangi Municipality
880,66,-37,267.15,79,8,3.1,Kulusuk
887,59,84,261.53,66,0,2.26,Belyy Yar
888,73,114,255.48,64,36,4.71,Saskylakh
896,45,-70,278.89,51,75,10.3,Kingfield
897,-6,-75,301.88,78,0,1.46,Departamento de Loreto
899,-78,20,216.38,0,0,4.56,Antarctica
903,58,108,265.73,53,56,3.21,Kirensk
906,71,26,268.83,63,20,5.1,Nordmannset
912,20,-3,310.78,17,0,2.11,Région de Tombouctou
916,61,-7,276.38,100,36,8.76,Kráir
918,68,-164,260.21,77,1,3.1,Red Dog Mine
920,72,-160,257.98,81,44,10.11,Barrow
923,59,-66,254.03,100,64,4.36,Kangiqsualujjuaq
926,-12,-72,292.48,100,92,0.46,Departamento de Cusco
930,45,79,270.18,92,32,1.06,Tekeli
931,-25,-49,296.15,73,75,5.1,Bocaiúva do Sul
934,-8,-76,296.93,91,44,0.91,Tocache Nuevo
935,-11,21,297.08,76,36,2.61,Cazaji
937,33,114,290.38,76,0,2.66,Liuge
941,-10,-67,298.48,93,88,1.26,Placido de Castro
947,32,34,292.23,97,0,7.36,Ashdod
953,-79,20,220.73,0,0,7.81,Antarctica
956,10,137,300.08,100,80,5.21,Feeduqor
957,58,-110,256.33,67,12,1.61,Kenny Woods
960,38,42,287.53,57,0,0.76,Aydinlar
962,-42,-65,291.03,87,0,6.41,Sierra Grande
973,71,34,272.88,100,88,2.51,Vardo
974,-5,25,299.88,89,20,0.31,Lubao
975,45,147,272.03,94,0,5.71,Kurilsk
979,27,86,297.98,48,32,3.41,Dhanusa
987,20,-8,309.73,15,0,2.96,Wilaya du Hodh ech Chargui
988,67,169,265.53,77,88,1.31,Neten
997,59,-142,277.58,100,0,4.01,Yakutat
1001,3,-56,296.38,95,92,1.26,Bakrakondre
1003,22,-74,297.03,100,0,3.86,Crooked Island and Long Cay District
1006,56,-6,280.43,52,40,4.6,Ardrishaig
1007,61,-135,258.15,71,75,1.5,Mayo Road
1015,60,163,272.48,97,88,7.71,Ossora
1016,-6,-35,304.15,62,75,8.7,Timbó
1023,-22,-52,296.53,100,92,1.86,Caiuá
1024,35,-80,292.87,42,1,3.6,Pinkston
1028,51,-94,264.15,56,75,5.1,Madsen
1029,17,106,294.63,61,8,1.66,Khouèng Savannakhét
1030,21,77,299.78,34,0,1.76,Akot
1033,6,27,303.08,65,12,2.96,Tambura
1047,-32,123,287.23,73,24,5.11,Norseman
1049,40,-101,270.2,85,90,3.1,Trenton
1050,53,110,259.33,61,0,2.61,Respublika Buryatiya
1056,33,85,244.88,45,0,1.16,Yubzha
1059,4,103,299.15,88,75,1.5,Kampung Batu Lapan Tiga Suku
1065,45,24,282.53,82,8,6.46,Copaceni
1069,52,53,273.43,97,92,6.16,Tashla
1082,24,-109,295.08,94,0,0.36,Las Palmas
1085,61,44,268.73,96,0,1.56,Ileza
1093,73,82,255.68,81,76,4.21,Dikson
1097,-8,119,300.58,100,32,2.26,Sangiang
1102,52,-104,258.83,76,0,5.71,Clair
1107,52,-176,277.15,100,90,8.7,Adak
1112,66,121,262.73,80,56,2.66,Zhigansk
1113,66,17,270.98,81,12,1.51,Sorsele Kommun
1118,59,-119,256.18,69,0,1.31,Footner Lake
1120,28,64,297.78,17,20,1.51,Dalbandin
1128,26,54,297.64,61,0,13.9,Kish
1130,-13,-64,300.15,78,75,3.11,Guachara
1131,58,28,277.15,64,88,5,Seredka
1137,40,-95,268.09,85,90,6.2,Oregon
1138,64,-168,269.18,100,68,1.26,Nome
1139,17,-77,298.18,100,12,4.76,Rocky Point
1140,52,-104,258.83,76,0,5.71,Clair
1141,35,103,268.28,63,0,1.31,Zuogaimanma
1142,-32,19,299.48,55,12,2.46,Graafwater
1144,8,-70,297.28,98,92,3.86,San Rafael de Canagua
1146,0,131,301.28,90,48,3.56,Sorong
1150,-14,-44,302.13,78,0,2.51,Carinhanha
1158,30,-85,295.15,78,1,4.6,Wewahitchka
1161,19,38,300.38,100,0,2.66,Tokar
1168,72,25,271.63,100,20,2.26,Havoysund
1169,69,-99,247.98,83,24,5.61,Gjoa Haven
1172,-15,-49,303.83,65,0,2.86,Barro Alto
1173,12,48,300.23,100,32,1.91,Laasqoray
1176,41,46,282.15,81,75,3.1,Dzagam
1181,34,32,290.83,100,0,2.76,Paphos
1185,63,-151,265.15,78,20,0.36,Matanuska-Susitna Borough
1193,50,115,270.08,31,68,10.61,Ereencav
1195,50,43,279.03,93,48,5.71,Mikhaylovka
1198,61,13,272.03,60,32,1.41,Malung
1200,47,-58,274.43,93,8,7.36,Ramea
1201,50,109,262.08,53,8,1.66,Krasnyy Chikoy
1202,65,80,258.18,77,56,4.86,Tarko-Sale
1207,67,81,253.38,77,48,7.96,Tazovskiy
1208,16,101,297.33,92,56,1.21,Nong Phai
1210,23,103,291.53,85,64,0.71,Nansha
1214,44,-112,277.15,86,90,5.7,Madison County
1222,45,14,286.51,66,0,3.1,Marcana
1223,48,41,284.63,74,0,5.76,Romanov
1227,-38,-65,295.13,67,12,3.86,General Acha
1247,45,115,278.28,68,0,1.81,Ovoot
1248,60,163,272.48,97,88,7.71,Ossora
1249,57,-126,251.63,62,0,0.91,Ware
1254,32,45,297.78,30,0,4.01,Ad Diwaniyah
1256,70,-7,268.78,100,32,9.56,Olonkinbyen
1264,44,22,280.18,84,24,4.91,Brestovac
1267,64,-135,264.15,85,90,1,Mayo
1270,40,-5,286.78,64,68,1.81,Velada
1279,16,45,302.03,12,8,2.66,Ar Rawd
1281,-25,-54,295.15,88,75,12.3,Linha Floresta
1282,-27,117,296.53,61,8,7.01,Melville
1287,19,-80,298.78,100,0,7.91,Cayman Islands
1288,40,-114,277.73,38,0,1.06,Wendover
1289,70,16,276.23,100,12,9.96,Andenes
1292,58,67,267.13,85,36,4.91,Nizhnyaya Tavda
1298,54,39,274.38,96,80,3.96,Prudskiye Vyselki
1302,68,29,271.78,66,56,2.31,Savukoski
1308,46,147,271.63,97,56,6.56,Kurilsk
1311,68,27,271.63,70,68,2.36,Lapin Lääni
1312,-2,-57,301.03,82,80,1.31,Nhamunda
1315,25,103,289.15,38,0,5,Tangchijie
1318,57,-92,253.28,100,36,5.21,Shamattawa
1322,-8,125,301.88,92,64,1.06,Dili
1325,71,145,249.58,54,0,6.51,Chokurdakh
1328,-17,-43,298.53,68,8,2.16,Botumirim
1335,42,42,292.15,37,0,11.8,Naruja
1338,47,-54,275.23,83,0,9.61,Ship Cove
1342,7,-55,299.43,100,32,4.91,Nieuw Amsterdam
1349,38,-9,289.28,87,92,6.16,Sines
1351,1,6,299.28,100,88,4.66,Nazaré
1356,29,128,294.08,100,68,5.21,Uken
1357,27,-114,288.88,90,88,2.51,Guerrero Negro
1374,57,84,265.08,84,68,3.21,Krasnyy Yar
1375,20,40,301.28,100,0,1.06,Al Ābār
1377,-3,142,298.53,100,68,2.51,Aitape
1381,-17,-54,303.28,68,8,3.36,Alto Garças
1388,12,-7,307.88,34,68,2.86,Bougouni
1389,72,-160,257.98,81,44,10.11,Barrow
1390,47,73,270.53,72,0,1.76,Moyynty
1392,-21,121,300.68,58,88,1.26,Marble Bar
1393,65,78,259.38,77,56,4.36,Tarko-Sale
1395,36,-76,292.64,46,1,7.7,Columbia
1402,62,30,273.15,89,0,4.6,Kitee
1403,65,70,261.88,82,64,3.66,Nadym
1415,1,-157,299.58,97,68,5.56,Banana Village
1417,31,76,298.38,42,0,3.11,Rahon
1421,-8,-73,304.15,66,40,2.1,Porto Walter
1432,16,145,300.68,100,56,12.86,Northern Islands Municipality - Mayors Office
1433,33,-7,293.15,72,0,5.1,Khouribga
1435,-21,138,301.48,45,0,5.66,Camooweal
1436,-15,136,304.48,95,0,4.46,Roper Gulf
1438,12,-9,306.43,47,32,3.31,Kangaba
1450,-41,-65,292.38,76,0,3.01,Doctor Rogelio Cortizo
1452,40,141,277.68,100,92,1.16,Kazuno
1453,38,25,290.15,72,0,11.3,Livádhia
1458,59,-7,278.88,100,48,8.91,Eoropie
1464,72,28,271.93,100,0,3.96,Gamvik
1465,33,-86,293.92,56,1,2.1,Alexander City
1466,13,55,300.48,100,0,3.11,Tamrida
1467,31,-102,292.18,55,36,5.81,Iraan
1469,-36,148,283.73,78,80,0.51,Tooma
1472,45,118,282.83,50,0,5.61,Bala Gaer Gaole
1476,58,162,273.28,98,92,9.41,Ivashka
1483,69,-81,263.44,92,90,9.3,Hall Beach
1485,-3,19,301.68,75,20,0.86,Mangai
1486,-25,27,295.15,73,88,1.5,Mogwase
1487,20,10,307.48,15,20,2.11,Agadez
1488,8,-10,302.48,76,32,1.96,Lofa County
1492,44,-99,270.15,49,1,1.5,Chamberlain
1497,-2,-58,303.63,72,32,1.31,Urucara
1498,32,105,284.48,85,0,1.31,Zhongba
1510,53,78,268.63,94,20,3.71,Yarovoye
1512,-44,-175,288.68,100,80,9.66,Karewa
1514,0,-71,300.18,87,92,1.31,Departamento del Vaupés
1517,76,-96,244.08,60,0,5.01,Resolute
1519,42,144,275.93,97,92,5.16,Hiroo
1522,38,98,259.03,62,0,1.41,Hexi
1523,31,45,298.63,28,0,3.41,Ḩaydarīyah
1526,41,-114,283.15,53,1,3.1,Wendover
1533,-6,22,302.38,69,24,1.41,Kananga
1536,27,-78,296.13,97,68,3.91,East Grand Bahama District
1541,47,62,274.98,64,0,3.86,Aral
1551,62,-140,264.15,66,90,2.1,Beaver Creek
1553,-24,27,296.18,90,76,1.91,Magothla
1555,64,28,276.15,27,0,2.6,Sotkamo
1557,-33,26,299.68,51,12,2.21,Adelaide
1566,57,-81,254.68,100,56,4.21,Sanikiluaq
1567,48,47,281.58,66,0,6.56,Nizhniy Baskunchak
1579,-23,18,299.38,50,48,3.56,Witvlei
1581,-53,-66,283.53,92,64,10.21,Río Grande
1582,23,124,296.33,100,32,6.21,Taketomi
1583,53,11,277.15,64,75,7.2,Waddeweitz
1590,22,39,301.15,65,0,5.1,Jeddah
1594,54,-95,252.15,58,20,6.2,Kapaneewekamik Place
1599,14,-90,304.18,30,0,1.5,Conguaco
1600,59,55,270.68,92,88,2.76,Titovo
1608,58,-133,256.48,53,0,0.96,Thane
1615,24,58,304.15,40,0,1,Barka
1616,42,142,277.38,100,48,4.56,Shizunai
1619,47,-72,274.67,50,75,7.7,Rivière-à-Pierre
1623,69,146,250.13,68,0,3.91,Belaya Gora
1627,41,-7,286.43,66,88,5.56,Almendra
1631,63,-178,273.53,97,12,5.36,Beringovskiy
1636,-8,26,301.33,67,12,1.31,Province du Katanga
1640,51,74,262.78,69,0,3.21,Yereymentau
1642,68,-79,267.28,95,88,8.81,Hall Beach
1644,-3,128,298.98,100,20,1.66,Piru
1645,64,28,276.15,27,0,2.6,Sotkamo
1646,-28,119,297.78,51,48,6.26,Sandstone
1652,8,170,301.03,100,56,5.01,Jabat
1654,-20,150,299.38,100,92,12.81,Airlie Beach
1656,-33,-68,290.23,95,92,6.26,Las Catitas
1668,64,144,245.13,46,0,0.91,Ust-Nera
1669,56,68,268.38,80,44,5.51,Armizonskoye
1670,43,14,287.15,62,0,2.1,Grottammare
1679,58,117,258.88,63,68,2.51,Kropotkin
1681,-40,-69,290.63,44,0,2.01,Picun Leufu
1689,-27,135,295.23,38,0,1.26,Oodnadatta
1690,-30,149,293.53,53,0,2.66,Burren Junction
1692,-24,-64,302.03,64,0,1.66,Palma Sola
1694,33,-8,293.15,72,0,5.1,Boulaouane
1699,26,-98,300.58,61,20,8.2,Rio Bravo
1700,-3,-59,304.18,71,8,1.31,Itacoatiara
1702,32,-95,294.16,73,75,4.1,New Summerfield
1704,30,-100,292.41,88,90,6.2,Rocksprings
1706,27,104,283.03,84,8,1.21,Weining
1707,63,51,272.03,75,88,2.06,Trakt
1709,54,-93,253.18,64,32,3.51,Sachigo Lake
1712,68,127,255.18,68,68,0.91,Batagay-Alyta
